Frame,Current_Loudness,Baseline_Loudness,Delta_Loudness,Baseline_Loudness_Deviation,Loudness_Category
306,-6.008794,-6.01070499420166,0.0019111633,0.0018889359198510647,No Significant Change
307,-6.0125074,-6.0106096267700195,-0.0018978119,0.0018900472205132246,No Significant Change
308,-6.008804,-6.010704517364502,0.0019006729,0.0018904354656115174,No Significant Change
309,-6.0124893,-6.0106096267700195,-0.0018796921,0.0018909473437815905,No Significant Change
310,-6.008861,-6.0107035636901855,0.0018424988,0.001890384592115879,No Significant Change
311,-6.012458,-6.010611534118652,-0.0018463135,0.0018879902781918645,No Significant Change
312,-6.0088854,-6.010704040527344,0.0018186569,0.0018859064439311624,No Significant Change
313,-6.012428,-6.010612964630127,-0.0018148422,0.0018825439037755132,No Significant Change
314,-6.008939,-6.010704040527344,0.0017652512,0.0018791588954627514,No Significant Change
315,-6.0123787,-6.010615825653076,-0.001762867,0.0018734635086730123,No Significant Change
316,-6.00896,-6.010704040527344,0.0017442703,0.0018679337808862329,No Significant Change
317,-6.0123444,-6.010616779327393,-0.001727581,0.0018617506138980389,No Significant Change
318,-6.0090275,-6.010703086853027,0.0016756058,0.00185504206456244,No Significant Change
319,-6.012299,-6.010619163513184,-0.0016798973,0.0018460702849552035,No Significant Change
320,-6.0090585,-6.010703086853027,0.0016446114,0.0018377616070210934,No Significant Change
321,-6.01225,-6.010620594024658,-0.0016293526,0.0018281040247529745,No Significant Change
322,-6.009121,-6.010702133178711,0.001581192,0.0018181664636358619,No Significant Change
323,-6.0121922,-6.010622978210449,-0.0015692711,0.0018063177121803164,No Significant Change
324,-6.0091634,-6.0107011795043945,0.0015377998,0.0017944653518497944,No Significant Change
325,-6.012148,-6.010623931884766,-0.0015239716,0.0017816320760175586,No Significant Change
326,-6.0092354,-6.01069974899292,0.0014643669,0.0017687490908429027,No Significant Change
327,-6.0120826,-6.010626316070557,-0.0014562607,0.0017535299994051456,No Significant Change
328,-6.0092745,-6.010699272155762,0.0014247894,0.00173866655677557,No Significant Change
329,-6.012024,-6.010627746582031,-0.0013961792,0.0017229726072400808,No Significant Change
330,-6.009345,-6.010697364807129,0.0013523102,0.0017066329019144177,No Significant Change
331,-6.0119467,-6.010629653930664,-0.0013170242,0.0016889168182387948,No Significant Change
332,-6.0093884,-6.010695457458496,0.0013070107,0.0016703222645446658,No Significant Change
333,-6.011891,-6.010630130767822,-0.0012607574,0.001652156701311469,No Significant Change
334,-6.0094714,-6.010693073272705,0.0012216568,0.0016325867036357522,No Significant Change
335,-6.011817,-6.010632038116455,-0.0011849403,0.001612040214240551,No Significant Change
336,-6.0095253,-6.0106916427612305,0.0011663437,0.0015906852204352617,No Significant Change
